area,perimeter,compactness,length,width,asymCoef,lengGroove,Class
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1
14.88,14.57,0.8811,5.553999999999999,3.333,1.018,4.956,1
14.11,14.18,0.882,5.541,3.221,2.7539999999999996,5.038,1
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1
12.78,13.57,0.8716,5.2620000000000005,3.0260000000000002,1.176,4.782,1
14.52,14.6,0.8557,5.7410000000000005,3.113,1.4809999999999999,5.487,1
12.11,13.47,0.8392,5.159,3.032,1.5019999999999998,4.519,1
14.09,14.41,0.8529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,1
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1
16.12,15.0,0.9,5.709,3.485,2.27,5.443,1
12.08,13.23,0.8664,5.099,2.9360000000000004,1.415,4.961,1
11.23,12.63,0.884,4.902,2.8789999999999996,2.269,4.703,1
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1
14.79,14.52,0.8819,5.545,3.2910000000000004,2.7039999999999997,5.111000000000001,1
15.26,14.85,0.8696,5.7139999999999995,3.242,4.543,5.314,1
15.11,14.54,0.8986,5.579,3.4619999999999997,3.128,5.18,1
12.74,13.67,0.8564,5.395,2.9560000000000004,2.504,4.869,1
16.19,15.16,0.8849,5.832999999999999,3.4210000000000003,0.903,5.307,1
14.01,14.29,0.8625,5.609,3.158,2.217,5.132000000000001,1
13.45,14.02,0.8604,5.516,3.065,3.531,5.0969999999999995,1
16.2,15.27,0.8734,5.8260000000000005,3.464,2.823,5.527,1
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
16.44,15.25,0.888,5.8839999999999995,3.505,1.969,5.5329999999999995,1
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1
16.63,15.46,0.8747,6.053,3.465,2.04,5.877000000000001,1
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1
17.99,15.86,0.8992,5.89,3.694,2.068,5.837000000000001,2
19.94,16.92,0.8752,6.675,3.763,3.252,6.55,2
18.89,16.23,0.9008,6.227,3.7689999999999997,3.639,5.966,2
15.38,14.66,0.899,5.477,3.465,3.6,5.439,2
18.36,16.52,0.8452,6.666,3.485,4.933,6.4479999999999995,2
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2
19.11,16.26,0.9081,6.154,3.93,2.9360000000000004,6.079,2
16.77,15.62,0.8638,5.9270000000000005,3.438,4.92,5.795,2
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2
16.23,15.18,0.885,5.872000000000001,3.472,3.7689999999999997,5.922000000000001,2
18.85,16.17,0.9056,6.152,3.806,2.843,6.2,2
18.43,15.97,0.9077,5.98,3.7710000000000004,2.984,5.905,2
18.95,16.42,0.8829,6.247999999999999,3.755,3.3680000000000003,6.148,2
18.55,16.22,0.8865,6.153,3.674,1.7380000000000002,5.894,2
20.03,16.9,0.8811,6.492999999999999,3.8569999999999998,3.063,6.32,2
20.2,16.89,0.8894,6.285,3.864,5.172999999999999,6.187,2
18.75,16.18,0.8999,6.111000000000001,3.8689999999999998,4.188,5.992000000000001,2
16.87,15.65,0.8648,6.138999999999999,3.463,3.696,5.9670000000000005,2
19.13,16.31,0.9035,6.183,3.9019999999999997,2.109,5.9239999999999995,2
19.18,16.63,0.8717,6.369,3.681,3.3569999999999998,6.229,2
